Data,Alcance
2021-10-19,3240
2021-10-20,3751
2021-10-21,4075
2021-10-22,6033
2021-10-23,4684
2021-10-24,5437
2021-10-25,5583
2021-10-26,4219
2021-10-27,7145
2021-10-28,4299
2021-10-29,5694
2021-10-30,3948
2021-10-31,7020
2021-11-01,5144
2021-11-02,7523
2021-11-03,6272
2021-11-04,4532
2021-11-05,6067
2021-11-06,10619
2021-11-07,6683
2021-11-08,4859
2021-11-09,3173
2021-11-10,3444
2021-11-11,2700
2021-11-12,3783
2021-11-13,3450
2021-11-14,6255
2021-11-15,5547
2021-11-16,3230
2021-11-17,6017
2021-11-18,8692
2021-11-19,7976
2021-11-20,8668
2021-11-21,7327
2021-11-24,3450
2021-11-25,4032
2021-11-26,3439
2021-11-27,6009
2021-11-28,12266
2021-11-29,5003
2021-11-30,8063
2021-12-01,5832
2021-12-02,5623
2021-12-03,6185
2021-12-04,3860
2021-12-05,6239
2021-12-06,3538
2021-12-07,5941
2021-12-08,3173
2021-12-09,3450
2021-12-10,4157
2021-12-11,2444
2021-12-12,1670
2021-12-13,2693
2021-12-14,3279
7
2021-11-24,3450
2021-11-25,4032
2021-11-26,3439
2021-11-27,6009
2021-11-28,12266
2021-11-29,5003
2021-11-30,8063
2021-12-01,5832
2021-12-02,5623
2021-12-03,6185
2021-12-04,3860
2021-12-05,6239
2021-12-06,3538
2021-12-07,5941
2021-12-08,3173
2021-12-09,3450
2021-12-10,4157
2021-12-11,2444
2021-12-12,1670
2021-12-13,2693
2021-12-14,3279
